method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
log2CPM_recomputed__historical_rawcount__GSE152004_reference_scaling__euclidean	log2CPM_recomputed	GSE152004_reference_scaling	historical_rawcount	euclidean	1	50	4	1	43	5	FALSE	92
log2CPM_recomputed__locked_final_VST__GSE152004_reference_scaling__correlation	log2CPM_recomputed	GSE152004_reference_scaling	locked_final_VST	correlation	2	17	36	1	26	22	FALSE	92
log2CPM_recomputed__locked_final_VST__GSE152004_reference_scaling__euclidean	log2CPM_recomputed	GSE152004_reference_scaling	locked_final_VST	euclidean	2	48	5	0	45	4	FALSE	92
log2CPM_T2_fixed_IFN__log2CPM__none__correlation	log2CPM_T2_fixed_IFN	none	log2CPM	correlation	7	48	0	3	46	0	FALSE	94
log2CPM_recomputed__historical_rawcount__GSE152004_reference_scaling__manhattan	log2CPM_recomputed	GSE152004_reference_scaling	historical_rawcount	manhattan	1	50	4	1	44	4	FALSE	94
log2CPM_T2_fixed_IFN__historical_rawcount__GSE152004_reference_scaling__correlation	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	historical_rawcount	correlation	1	16	38	1	25	23	FALSE	98
log2CPM_recomputed__locked_final_VST__GSE152004_reference_scaling__manhattan	log2CPM_recomputed	GSE152004_reference_scaling	locked_final_VST	manhattan	0	51	4	0	45	4	FALSE	98
VST_locked__locked_final_VST__none__correlation	VST_locked	none	locked_final_VST	correlation	27	0	28	18	0	31	FALSE	100
historical_rawcount_existing_repair__locked_final_VST__none__correlation	historical_rawcount_existing_repair	none	locked_final_VST	correlation	27	0	28	18	0	31	FALSE	100
historical_rawcount_fixed32__locked_final_VST__none__correlation	historical_rawcount_fixed32	none	locked_final_VST	correlation	27	0	28	18	0	31	FALSE	100
VST_locked__historical_rawcount__GSE152004_reference_scaling__correlation	VST_locked	GSE152004_reference_scaling	historical_rawcount	correlation	9	9	37	8	15	26	FALSE	102
historical_rawcount_fixed32__historical_rawcount__GSE152004_reference_scaling__correlation	historical_rawcount_fixed32	GSE152004_reference_scaling	historical_rawcount	correlation	9	9	37	8	15	26	FALSE	102
VST_locked__historical_rawcount__none__correlation	VST_locked	none	historical_rawcount	correlation	23	0	32	18	0	31	FALSE	108
VST_locked__locked_final_VST__GSE152004_reference_scaling__correlation	VST_locked	GSE152004_reference_scaling	locked_final_VST	correlation	8	10	37	6	14	29	FALSE	108
historical_rawcount_existing_repair__historical_rawcount__none__correlation	historical_rawcount_existing_repair	none	historical_rawcount	correlation	23	0	32	18	0	31	FALSE	108
historical_rawcount_fixed32__historical_rawcount__none__correlation	historical_rawcount_fixed32	none	historical_rawcount	correlation	23	0	32	18	0	31	FALSE	108
historical_rawcount_fixed32__locked_final_VST__GSE152004_reference_scaling__correlation	historical_rawcount_fixed32	GSE152004_reference_scaling	locked_final_VST	correlation	8	10	37	6	14	29	FALSE	108
log2CPM_T2_fixed_IFN__locked_final_VST__GSE152004_reference_scaling__correlation	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	locked_final_VST	correlation	1	14	40	0	20	29	FALSE	114
VST_locked__log2CPM__none__euclidean	VST_locked	none	log2CPM	euclidean	12	0	43	8	0	41	FALSE	144
historical_rawcount_fixed32__log2CPM__none__euclidean	historical_rawcount_fixed32	none	log2CPM	euclidean	12	0	43	8	0	41	FALSE	144
log2CPM_recomputed__locked_final_VST__none__correlation	log2CPM_recomputed	none	locked_final_VST	correlation	12	0	43	8	0	41	FALSE	144
historical_rawcount_existing_repair__log2CPM__none__euclidean	historical_rawcount_existing_repair	none	log2CPM	euclidean	11	0	44	8	0	41	FALSE	146
log2CPM_T2_fixed_IFN__locked_final_VST__none__correlation	log2CPM_T2_fixed_IFN	none	locked_final_VST	correlation	10	0	45	7	0	42	FALSE	150
log2CPM_recomputed__historical_rawcount__none__correlation	log2CPM_recomputed	none	historical_rawcount	correlation	9	0	46	7	0	42	FALSE	152
log2CPM_T2_fixed_IFN__historical_rawcount__none__correlation	log2CPM_T2_fixed_IFN	none	historical_rawcount	correlation	9	0	46	4	0	45	FALSE	158
log2CPM_recomputed__log2CPM__none__euclidean	log2CPM_recomputed	none	log2CPM	euclidean	2	0	53	1	0	48	FALSE	178
VST_locked__historical_rawcount__none__euclidean	VST_locked	none	historical_rawcount	euclidean	1	0	54	1	0	48	FALSE	180
historical_rawcount_existing_repair__historical_rawcount__none__euclidean	historical_rawcount_existing_repair	none	historical_rawcount	euclidean	1	0	54	1	0	48	FALSE	180
historical_rawcount_fixed32__historical_rawcount__none__euclidean	historical_rawcount_fixed32	none	historical_rawcount	euclidean	1	0	54	1	0	48	FALSE	180
log2CPM_T2_fixed_IFN__log2CPM__none__euclidean	log2CPM_T2_fixed_IFN	none	log2CPM	euclidean	1	0	54	1	0	48	FALSE	180
VST_locked__historical_rawcount__none__manhattan	VST_locked	none	historical_rawcount	manhattan	0	0	55	0	0	49	FALSE	184
VST_locked__locked_final_VST__none__euclidean	VST_locked	none	locked_final_VST	euclidean	0	0	55	0	0	49	FALSE	184
VST_locked__locked_final_VST__none__manhattan	VST_locked	none	locked_final_VST	manhattan	0	0	55	0	0	49	FALSE	184
VST_locked__log2CPM__none__manhattan	VST_locked	none	log2CPM	manhattan	0	0	55	0	0	49	FALSE	184
