gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC,loading
CNIH2,-0.000196331835185506,0.000620181628658808,0.00983767194898418,0.0100001902771706,0.0544999408205977,-0.0644023184995709,-0.0507294619298777,-0.0184378253406659,-0.0635561932550684,0.0184411817691054,PC5,0.0544999408205977
TRG-AS1,0.0213386450710087,0.0281318026332104,0.00315885923480164,-0.0116976243172575,0.0542919995098771,-0.00962412533196789,0.0231265508848726,0.0270810176291991,0.0264582819291133,-0.0023134096624263,PC5,0.0542919995098771
ZNF683,0.0173368294872006,0.0280405003875474,-0.000450859359895348,-0.0110794285684133,0.0538766998796981,-0.0100677122703992,0.0176239733572786,0.0367574999177116,0.0153911024630196,-0.0181236520035188,PC5,0.0538766998796981
PTPN22,0.0280202338384567,0.0130908604263691,0.0157242554902059,-0.0113871839767031,0.0533764662350036,-0.0140723336804949,0.0457413339595988,0.028908302811682,0.03424776066011,0.0035155577150299,PC5,0.0533764662350036
KLRC2,0.0181326935818832,0.0171188503807104,0.00537462223875723,-0.012124869386045,0.0531492229246492,-0.00773322771108299,0.03829287485947,0.0243893832255573,0.00554785290737815,0.00133123848431855,PC5,0.0531492229246492
SPRR2E,0.0174956853580562,-0.00578829691088115,0.00439252119548081,0.0410035655717848,-0.0530304167219657,-0.019181623494422,0.0100089113780828,-0.0157418388373638,0.0214084879628587,-0.0032137519310813,PC5,-0.0530304167219657
CD244,0.0280482803069205,0.0196155834484542,0.00763638408634536,-0.00860389532016963,0.0521154048516797,-0.00155225022210278,0.0108336985760972,0.0417098662971864,0.033117937931072,-0.0106831843479993,PC5,0.0521154048516797
KLRD1,0.0233623394626552,0.0274537319587536,0.00191752962649687,-0.0224641460559294,0.0519790322925953,0.0120885116703678,0.016125283626979,0.0280625551673239,0.0035312044504031,0.00351961254543759,PC5,0.0519790322925953
COL17A1,-0.00182199526889485,0.0119632669619206,-0.00353534718106864,-0.0315053613573596,-0.0519494790256929,0.0231668323986873,-0.0114606195767038,0.012515516644116,0.0375097946128978,0.0698491614840754,PC5,-0.0519494790256929
S100A8,0.0310053838442617,0.00287502863594421,0.0168266249469528,0.0269677330715319,-0.0515882497166827,-0.0163791180859823,0.0051666744935368,-0.014052970155848,0.00491334070378915,0.00445887927082365,PC5,-0.0515882497166827
MYO7A,0.0242525550687667,0.0211861892078882,0.0121298934389954,-0.00300625879357956,0.051349513990977,-0.0224966545956728,0.0289852095914893,-0.000472215082637188,0.0522624426055038,0.0059588198227722,PC5,0.051349513990977
KLRC1,0.0200630906320437,0.0197284227230811,0.00466722672754533,-0.0197567077461964,0.0513172833323544,0.00982015424248588,0.0258687968380048,0.0201484941110109,0.00366956405603744,0.00604874188616361,PC5,0.0513172833323544
